ensembl_id	uniprotkb_id	gene_names	is_known_drug_tgt	is_disease_associated
ENSP00000416168	O15050	LBA1	False	True
ENSP00000416193	O15547	P2RX6	True	True
ENSP00000416193	O15547	P2RXL1	True	True
ENSP00000416193	O15547	P2X6	True	True
ENSP00000416250	Q14232	EIF2B1	False	True
ENSP00000416250	Q14232	EIF2BA	False	True
ENSP00000416255	Q04637	EIF4G1	False	True
ENSP00000416255	Q04637	EIF4F	False	True
ENSP00000416255	Q04637	EIF4G	False	True
ENSP00000416255	Q04637	EIF4GI	False	True
ENSP00000416289	A2RRH5	WDR27	False	True
ENSP00000416293	P11166	SLC2A1	True	True
ENSP00000416293	P11166	GLUT1	True	True
ENSP00000416330	Q15582	TGFBI	False	True
ENSP00000416330	Q15582	BIGH3	False	True
ENSP00000416341	Q99435	NELL2	False	True
ENSP00000416341	Q99435	NRP2	False	True
ENSP00000416387	Q8WUP2	FBLIM1	False	True
ENSP00000416387	Q8WUP2	FBLP1	False	True
ENSP00000416418	Q9Y2E8	SLC9A8	False	True
ENSP00000416418	Q9Y2E8	KIAA0939	False	True
ENSP00000416418	Q9Y2E8	NHE8	False	True
ENSP00000416429	P62910	RPL32	False	True
ENSP00000416429	P62910	PP9932	False	True
ENSP00000416508	Q9H7F0	ATP13A3	False	True
ENSP00000416508	Q9H7F0	AFURS1	False	True
ENSP00000416515	P22570	FDXR	False	True
ENSP00000416515	P22570	ADXR	False	True
ENSP00000416523	Q92854	SEMA4D	False	True
ENSP00000416523	Q92854	C9orf164	False	True
ENSP00000416523	Q92854	CD100	False	True
ENSP00000416523	Q92854	SEMAJ	False	True
ENSP00000416534	Q7L014	DDX46	False	True
ENSP00000416534	Q7L014	KIAA0801	False	True
ENSP00000416558	O75426	FBXO24	False	True
ENSP00000416558	O75426	FBX24	False	True
ENSP00000416561	P00751	CFB	False	True
ENSP00000416561	P00751	BF	False	True
ENSP00000416561	P00751	BFD	False	True
ENSP00000416583	Q9Y315	DERA	False	True
ENSP00000416583	Q9Y315	CGI-26	False	True
ENSP00000416606	P01225	FSHB	False	True
ENSP00000416658	O75414	NME6	False	True
ENSP00000416662	Q8N859	ZNF713	False	False
ENSP00000416673	C9JE40	PATL2	False	True
ENSP00000416683	P35858	IGFALS	True	True
ENSP00000416683	P35858	ALS	True	True
ENSP00000416696	Q4ADV7	RIC1	False	True
ENSP00000416696	Q4ADV7	CIP150	False	True
ENSP00000416696	Q4ADV7	KIAA1432	False	True
ENSP00000416706	Q562R1	ACTBL2	False	True
ENSP00000416707	Q5GH73	XKR6	False	True
ENSP00000416707	Q5GH73	C8orf21	False	True
ENSP00000416707	Q5GH73	C8orf5	False	True
ENSP00000416707	Q5GH73	C8orf7	False	True
ENSP00000416707	Q5GH73	XRG6	False	True
ENSP00000416739	P46063	RECQL	False	True
ENSP00000416739	P46063	RECQ1	False	True
ENSP00000416739	P46063	RECQL1	False	True
ENSP00000416741	Q96QI5	HS3ST6	False	True
ENSP00000416741	Q96QI5	HS3ST5	False	True
ENSP00000416750	Q9BYT3	STK33	True	True
ENSP00000416753	Q8N387	MUC15	False	True
ENSP00000416753	Q8N387	UNQ750/PRO1481	False	True
ENSP00000416787	Q8NCW6	GALNT11	False	True
ENSP00000416797	Q9P1Y5	CAMSAP3	False	True
ENSP00000416797	Q9P1Y5	KIAA1543	False	True
ENSP00000416799	Q9UM82	SPATA2	False	True
ENSP00000416799	Q9UM82	KIAA0757	False	True
ENSP00000416799	Q9UM82	PD1	False	True
ENSP00000416809	Q8IYX0	ZNF679	False	True
ENSP00000416951	Q86VM9	ZC3H18	False	True
ENSP00000416951	Q86VM9	NHN1	False	True
ENSP00000416959	P62995	TRA2B	False	True
ENSP00000416959	P62995	SFRS10	False	True
ENSP00000416984	Q9NQ76	MEPE	False	True
ENSP00000416996	O00590	ACKR2	False	True
ENSP00000416996	O00590	CCBP2	False	True
ENSP00000416996	O00590	CCR10	False	True
ENSP00000416996	O00590	CMKBR9	False	True
ENSP00000416996	O00590	D6	False	True
ENSP00000417003	Q6ZWE6	PLEKHM3	False	True
ENSP00000417003	Q6ZWE6	DAPR	False	True
ENSP00000417003	Q6ZWE6	PLEKHM1L	False	True
ENSP00000417035	C9J6K1	C19orf81	False	True
ENSP00000417038	O75167	PHACTR2	False	True
ENSP00000417038	O75167	C6orf56	False	True
ENSP00000417038	O75167	KIAA0680	False	True
ENSP00000417050	B4E171	B4E171	False	False
ENSP00000417052	Q15125	EBP	True	True
ENSP00000417061	Q9C0B2	CFAP74	False	True
ENSP00000417061	Q9C0B2	C1orf222	False	True
ENSP00000417061	Q9C0B2	KIAA1751	False	True
ENSP00000417078	Q9H2U1	DHX36	False	True
ENSP00000417078	Q9H2U1	DDX36	False	True
ENSP00000417078	Q9H2U1	KIAA1488	False	True
ENSP00000417078	Q9H2U1	MLEL1	False	True
ENSP00000417078	Q9H2U1	RHAU	False	True
ENSP00000417085	Q16348	SLC15A2	True	True
ENSP00000417085	Q16348	PEPT2	True	True
ENSP00000417128	Q5J5C9	DEFB121	False	True
ENSP00000417128	Q5J5C9	DEFB21	False	True
ENSP00000417132	Q92560	BAP1	False	True
ENSP00000417132	Q92560	KIAA0272	False	True
ENSP00000417132	Q92560	hucep-6	False	True
ENSP00000417138	P55058	PLTP	False	True
ENSP00000417142	Q16718	NDUFA5	False	True
ENSP00000417161	P51810	GPR143	False	True
ENSP00000417161	P51810	OA1	False	True
ENSP00000417175	O95292	VAPB	False	True
ENSP00000417175	O95292	UNQ484/PRO983	False	True
ENSP00000417182	Q3MIW9	MUCL3	False	True
ENSP00000417182	Q3MIW9	C6orf37	False	True
ENSP00000417182	Q3MIW9	DPCR1	False	True
ENSP00000417182	Q3MIW9	PBLT	False	True
ENSP00000417183	Q16829	DUSP7	False	True
ENSP00000417183	Q16829	PYST2	False	True
ENSP00000417185	Q6PCB0	VWA1	False	True
ENSP00000417190	Q8N5M1	ATPAF2	False	True
ENSP00000417190	Q8N5M1	ATP12	False	True
ENSP00000417190	Q8N5M1	LP3663	False	True
ENSP00000417192	P51504	ZNF80	False	True
ENSP00000417196	P57723	PCBP4	False	True
ENSP00000417207	P14651	HOXB3	False	True
ENSP00000417207	P14651	HOX2G	False	True
ENSP00000417214	Q460N3	PARP15	False	True
ENSP00000417214	Q460N3	BAL3	False	True
ENSP00000417222	P15086	CPB1	False	True
ENSP00000417222	P15086	CPB	False	True
ENSP00000417222	P15086	PCPB	False	True
ENSP00000417229	Q9BY44	EIF2A	False	True
ENSP00000417229	Q9BY44	CDA02	False	True
ENSP00000417229	Q9BY44	MSTP004	False	True
ENSP00000417229	Q9BY44	MSTP089	False	True
ENSP00000417235	Q86YW9	MED12L	False	True
ENSP00000417235	Q86YW9	KIAA1635	False	True
ENSP00000417235	Q86YW9	TNRC11L	False	True
ENSP00000417235	Q86YW9	TRALP	False	True
ENSP00000417235	Q86YW9	TRALPUSH	False	True
ENSP00000417235	Q86YW9	PRO0314	False	True
ENSP00000417261	Q8NFN8	GPR156	False	False
ENSP00000417261	Q8NFN8	GABABL	False	False
ENSP00000417261	Q8NFN8	PGR28	False	False
ENSP00000417273	P16333	NCK1	False	True
ENSP00000417273	P16333	NCK	False	True
ENSP00000417291	Q9BWE0	REPIN1	False	True
ENSP00000417291	Q9BWE0	RIP60	False	True
ENSP00000417291	Q9BWE0	ZNF464	False	True
ENSP00000417303	O95600	KLF8	False	True
ENSP00000417303	O95600	BKLF3	False	True
ENSP00000417303	O95600	ZNF741	False	True
ENSP00000417330	Q6L8G8	KRTAP5-7	False	False
ENSP00000417330	Q6L8G8	KAP5-7	False	False
