ensembl_id	uniprotkb_id	gene_names	is_known_drug_tgt	is_disease_associated
ENSP00000419117	P18077	GIG33	False	True
ENSP00000419124	O95990	FAM107A	False	True
ENSP00000419124	O95990	DRR1	False	True
ENSP00000419124	O95990	TU3A	False	True
ENSP00000419126	Q9H8K7	PAAT	False	True
ENSP00000419126	Q9H8K7	C10orf88	False	True
ENSP00000419153	Q9HC78	ZBTB20	False	True
ENSP00000419153	Q9HC78	DPZF	False	True
ENSP00000419153	Q9HC78	ZNF288	False	True
ENSP00000419160	Q537H7	SPATA45	False	False
ENSP00000419160	Q537H7	C1orf227	False	False
ENSP00000419160	Q537H7	HSD-44	False	False
ENSP00000419160	Q537H7	HSD44	False	False
ENSP00000419162	Q86TI4	WDR86	False	False
ENSP00000419184	Q9H7B4	SMYD3	False	True
ENSP00000419184	Q9H7B4	ZMYND1	False	True
ENSP00000419184	Q9H7B4	ZNFN3A1	False	True
