DATABASE_ID	SMILES	MOLECULAR_WEIGHT	JCHEM_AVERAGE_POLARIZABILITY	JCHEM_BIOAVAILABILITY	JCHEM_DONOR_COUNT	JCHEM_FORMAL_CHARGE	JCHEM_NEUTRAL_CHARGE	JCHEM_NUMBER_OF_RINGS	JCHEM_PHYSIOLOGICAL_CHARGE	JCHEM_PKA	JCHEM_PKA_STRONGEST_ACIDIC	JCHEM_PKA_STRONGEST_BASIC	JCHEM_POLAR_SURFACE_AREA	JCHEM_REFRACTIVITY	JCHEM_ROTATABLE_BOND_COUNT
DB14568	[H][C@@](N(C(=O)[C@]1([H])CCC(=O)N1C1=NC=CC(=C1)C#N)C1=CC(F)=CN=C1)(C(=O)NC1CC(F)(F)C1)C1=C(Cl)C=CC=C1	582.97	53.4182065517658	1	1	0		5	0	13.673113271147905	12.140569113196655	1.8069764829009622	119.28999999999999	139.33199999999997	7
DB14723	O[C@H]1CCN(C1)C(=O)NC1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=C(F)C=CC(F)=C1	428.444	41.611712144236215	1	2	0		5	0	14.995396518378573	10.935050752364885	0.7049689419211188	86.0	122.96429999999998	3
DB14792	CN1N=C2CSCC3=NN(C)C(CSC4=CC5=C(C=CC=C5)C(OCCCC5=C(N(C)C6=C5C=CC(Cl)=C6C2=C1C)C(O)=O)=C4)=C3	672.26	69.94179317101784	0	1	0		7	-1		3.2411616873556333	2.005450807968175	87.10000000000001	211.6582999999999	1
DB14795	COC1=C(OC(=O)N2CCN(C)C[C@H]2C)C=C2C(NC3=C(F)C(Cl)=CC=C3)=NC=NC2=C1	459.91	46.539613386448515	1	1	0		4	1		13.811075757731743	7.100945621686947	79.82000000000001	119.156	5
DB14840	CCN1C(=O)C(=CC2=C1C=C(NC)N=C2)C1=C(Br)C=C(F)C(NC(=O)NC2=CC=CC=C2)=C1	510.367	47.20722145499343	1	3	0	0	4	0	18.047528281355657	10.3386087334983	5.852722619792451	86.36	133.7802	5
DB14917	C[C@@H]1COCCN1C1=NC(=NC(=C1)C1(CC1)[S@](C)(=N)=O)C1=CN=CC2=C1C=CN2	412.51	43.095670678475585	1	2	0	0	5	0		13.758072124537467	4.504480830803547	107.85	121.98749999999998	4
DB14980	C[C@@H](NC1=CC=CC=C1C(O)=O)C1=CC(C)=CN2C(=O)C=C(N=C12)N1CCOCC1	408.458	43.18665627905949	1	2	0		4	-1	15.566544871868128	4.68028901036352	2.5530471496325826	94.47	125.08819999999997	5
DB15029	C[C@@H](NC1=CC(F)=CC(F)=C1)C1=CC(=CC2=C1OC(=CC2=O)N1CCOCC1)C(=O)N(C)C	457.478	45.49651530407577	1	1	0		4	0		17.419477852656467	2.162152816659311	71.11	131.89769999999996	5
DB15035	NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1	471.561	51.747301377624446	1	2	0		5	0		13.807400111926212	2.68396683103639	102.47999999999999	146.24650000000003	6
DB15102	CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F	487.508	49.92842250354251	1	1	0		5	0		13.880927424636518	5.904092980269275	83.16000000000001	125.3239	6
DB15133	CN1CCC(COC2=CN=C(N=C2)C2=CC(CN3N=C(C=CC3=O)C3=CC(=CC=C3)C#N)=CC=C2)CC1	492.583	54.70410460265933	1	0	0	1	5	1			9.134353748695272	94.71	154.742	7
DB15189	CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(O)C=C1)N=C2C1=CC=C(Cl)C=C1	491.99	50.88114351691688	1	2	0		5	0	15.762192547444023	9.459690360865105	4.208616419853287	92.4	146.02969999999996	4
DB15233	CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1	498.57	52.990488953482114	1	1	0	1	6	1			8.521021194276003	106.29	164.55149999999992	5
DB15399	C[C@]1(CCCN1C1=NN2C=CC=C2C(NC2=NNC(=C2)C2CC2)=N1)C(=O)NC1=CN=C(F)C=C1	461.4948	48.10285524672413	1	3	0		6	0	12.97351022304117	12.012294325401422	2.88889172592693	116.13000000000001	139.75309999999996	6
DB15408	OC(=O)C1=CC2=C(C=C1)C1=C(C=CN=C1)C(NC1=CC(Cl)=CC=C1)=N2	349.77	35.31052589880835	1	2	0		4	-1	15.988911966733893	3.0153200514962295	4.613079902916225	75.11	95.1333	3
DB15463	CS(=O)(=O)C1=CC=C(OC2=CC(=CC(F)=C2)C#N)C2=C1[C@H](O)[C@H](F)[C@@H]2F	383.34	33.20066720533374	1	1	0	0	3	0	16.20067027258909	12.529253006942032	-3.738557485653073	87.39000000000001	85.8219	3
DB15569	CC(C)C1=NC=CC(C)=C1N1C(=O)N=C(N2CCN(C[C@@H]2C)C(=O)C=C)C2=CC(F)=C(N=C12)C1=C(O)C=CC=C1F	560.606	57.20688577670865	1	1	0		5	-1		6.984943724813891	4.735823558086222	102.23000000000002	150.11759999999995	3
DB15685	COC1=NC=C(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=C1	525.613	57.29953841768179	1	1	0	0	6	0		14.593168136278184	6.28170613655197	112.03999999999999	158.75269999999998	8
DB15694	OC[C@H]1O[C@@H](N2CC[C@@H](O)NC2=O)C(F)(F)[C@@H]1O	268.217	22.706456310779394	1	4	0	0	2	0	11.69037280910183	11.000571990556669	-2.983177788597496	102.26	51.7505	2
DB15822	CO[C@@]1(CC[C@@H](CC1)C1=NC(NC2=NNC(C)=C2)=CC(C)=N1)C(=O)N[C@@H](C)C1=CC=C(N=C1)N1C=C(F)C=N1	533.612	56.65525517257491	1	3	0	0	5	0	13.255455487251387	12.447066095669113	4.128125130047078	135.52999999999997	146.12079999999995	8
DB16107	CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O	521.666	58.87763002370657	1	2	0	1	5	1	15.856501304086033	12.245625578449443	8.565268146478044	102.92999999999998	148.63689999999994	7
DB16108	CCC1=NC(=C(S1)C1=CC(NC(=O)C2=CC=CC=C2)=NC=C1)C1=CC=CC(C)=C1	399.51	44.674284762430105	1	1	0	0	4	0		14.892736220326155	2.3656121933207848	54.88	118.74980000000002	5
DB16239	CCNC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C2=CC(OC)=CC=C2N2C(C)=NN=C12	423.9	44.82688731151809	1	1	0	0	4	0	18.311353539735432	14.933685470062636	4.357229514686613	81.39999999999999	127.33900000000001	5
DB16305	[H][C@]12CC[C@H](N1C(=O)[C@H](CN(CC2)C(=O)CC(C)C)NC(=O)[C@H](C)NC)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1	561.727	61.951926133496954	1	3	0	1	4	1	12.80996387466027	12.176902230850763	8.602552220060636	110.85	157.05489999999998	9
DB16390	COC1=C(NC2=NC=C(C(=O)OC(C)C)C(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C	585.709	64.19918691453712	0	2	0	1	4	1	15.190524990761348	12.784881931894954	8.867335823164389	113.85	171.51619999999994	13
