DATABASE_ID	SMILES	MOLECULAR_WEIGHT	JCHEM_AVERAGE_POLARIZABILITY	JCHEM_BIOAVAILABILITY	JCHEM_DONOR_COUNT	JCHEM_FORMAL_CHARGE	JCHEM_NEUTRAL_CHARGE	JCHEM_NUMBER_OF_RINGS	JCHEM_PHYSIOLOGICAL_CHARGE	JCHEM_PKA	JCHEM_PKA_STRONGEST_ACIDIC	JCHEM_PKA_STRONGEST_BASIC	JCHEM_POLAR_SURFACE_AREA	JCHEM_REFRACTIVITY	JCHEM_ROTATABLE_BOND_COUNT
DB02321	N[C@@H](CCSC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O)C(O)=O	267.299	26.332277208852396	1	5	0	0	1	0	11.31516377364693	1.8022463307785992	9.495582400043908	133.24	59.4888	6
DB02322	[H][C@]1(O)O[C@]([H])(COS([O-])(=O)=O)[C@@]([H])(O[C@]2([H])OC(=C[C@]([H])(O)[C@@]2([H])OS([O-])(=O)=O)C([O-])=O)[C@]([H])(O)[C@@]1([H])NS([O-])(=O)=O	573.438	45.4359284450373	0	4	-4	-4	2	-4	-2.0145016591203904	-2.549781056136035	-3.48899047774846	330.6000000000001	107.96229999999994	9
DB02323	[H][C@]1(CCCCCCCCC(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)C[C@@]2([H])[C@]3([H])CCC4=CC(O)=CC=C4[C@@]3([H])CC[C@]2(C)[C@@]1([H])O	677.8301	76.8764042479822	0	5	0	0	7	0	12.459861086081261	10.323850237119037	3.938779381889931	186.07	182.55310000000003	13
DB02324	[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=C(I)C(=O)NC1=O	434.0784	30.47516303836573	1	4	0	-2	2	-2	6.255827280114809	1.2327574604542155	-3.2403443230510685	145.63	75.27679999999998	4
DB02325	CC(C)O	60.095	7.1373816572351085	1	1	0	0	0	0		17.262586277858762	-1.8091447620645764	20.23	17.4287	0
DB02326	CC(C)C[C@@H](C(O)=O)C(=O)NO	175.1824	16.994313243190426	1	3	0	-1	0	-1	8.883530578632167	3.98942932051339	-5.522204646028788	86.63	40.8997	4
DB02327	OCCOCCOCCO	150.173	16.452224903751596	1	2	0	0	0	0	15.422185518940285	14.820125527488145	-2.74580657417326	58.92	36.6406	7
DB02328	[H]\C(CP(O)(O)=O)=C(\[H])/C(=N\CC1=C(COP(O)(O)=O)C=NC(C)=C1O)/C(O)=O	424.2369	35.806463978620414	0	6	0	-4	1	-4	2.103038220014897	1.600359667564688	5.571349263463867	207.06999999999996	92.79679999999999	9
DB02329	[H][C@@]1(CC[C@@]2(C)[C@@]([H])(CC[C@]3(C)[C@]2([H])C(=O)C=C2[C@]4([H])C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C)OC(=O)CCC(O)=O	570.7566	64.9946742114864	0	2	0	-2	5	-2	4.662149936748952	4.040276031722087	-5.0980505969918095	117.97	154.3133	6
DB02331	[H][C@@](CC1=CC=CC=C1)(N(CC1=CC=C(S1)C1=CC2=CC=CC=C2O1)C(=O)C1=C(Cl)C=C(Cl)C=C1)C(O)=O	550.452	56.033465541494806	0	1	0	-1	5	-1		4.41539204654917	-2.0232988439527833	70.75	144.87830000000002	8
DB02332	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C([NH3+])N=CN=C13)C1=NC(=O)NC(=O)C1=N2	786.5577	71.56859674328186	0	9	1		6	-3	2.283015251724023	1.8542542653025371	4.892850601394185	358.03999999999996	187.6616	13
DB02333	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	468.1417	34.62232591208335	0	6	0	-3	2	-4	2.5314813358820283	0.8952830166945718	-3.240344155886563	238.68999999999997	83.67359999999998	8
DB02334	O[C@@H](CS(O)(=O)=O)C(O)=O	170.141	13.14827787306751	1	3	0	-2	0	-2	2.7631770716966573	-1.5807364544987192	-4.189937179589438	111.9	28.777500000000003	3
DB02335	NC1=NCCS1	102.158	10.07634480507732	1	1	0	1	1	1			9.295499951965768	38.379999999999995	27.695300000000003	0
DB02336	CC(=O)N[C@@H](CC1=CC(=C(C=C1)P(O)(O)=O)P(O)(O)=O)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O	643.5611	62.478229578186564	0	6	0		4	-3	1.9965601147436987	1.2712941249032672	-1.9391848488215169	193.57	162.99210000000002	10
DB02337	N[C@@H](CCSCCCCC(O)=O)C(O)=O	235.301	25.227468550727764	1	3	0	-1	0	-1	4.617444090673764	2.5529736055266063	9.50232405741572	100.62	57.775200000000005	9
DB02338	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	745.4209	63.542294008111696	0	9	0	-4	5	-4	0.9022836228701442	0.6629260683535513	4.866344490168525	364.1500000000001	153.8726	13
DB02339	CN(CCCCCCOC1=CC=C2C(OC=C2C2=CC=C(Br)C=C2)=C1)CC=C	442.389	47.78572787395272	0	0	0	1	3	1			9.417815838652855	25.61	120.0151	11
DB02340	CC(=O)N[C@@H](CO)C(O)=O	147.1293	13.426636456180455	1	3	0	-1	0	-1	12.997357799160712	3.611000903600003	-2.0355996977858735	86.63	31.4848	3
DB02341	CC(C)[C@@H](NC(=O)C1=CC=C(C=C1)C(=O)N1CCOCC1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](C(C)C)C(=O)C(F)(F)C(F)(F)F	632.6193	59.49127167429974	0	2	0	0	3	0	14.456963701089983	11.318187711741572	-0.9789505686974488	125.12	148.06229999999994	11
DB02342	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3	302.4079	35.20085771933594	1	2	0		4	0	19.37769223665156	10.29090278168336	-0.8839539517980656	49.69	86.36789999999999	1
DB02343	CCOCCOCCOCCOCCOCC	250.3318	30.49890204448525	1	0	0	0	0	0			-3.44853354331331	46.150000000000006	66.68370000000002	14
DB02345	N[C@@H](C[SeH])C(O)=O	168.05	10.672622939777279	1	3	0	0	0	0	10.079176189051655	1.2678685745362661	8.395568600611247	63.32	33.44690000000001	2
DB02346	[H][C@]1(CO)O[C@@](CO)(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(OC(=O)CCCCCCC)[C@@]2([H])O)[C@@]([H])(O)[C@]1([H])O	468.4926	47.45668042605416	0	7	0	0	2	0	12.41654531317474	11.86003808924094	-2.9811042827384755	195.59999999999994	105.55749999999999	13
DB02347	CC(C)(C)C1=C(C[C@H](N)C(O)=O)C(OCP(O)(O)=O)=NO1	322.2515	29.48685238704683	1	4	0	-1	1	-1	2.24276739579218	1.2713848242041614	9.15228687889547	156.11	72.4551	7
DB02348	[O-]P([O-])(F)=O	97.9704	4.590388320154327	1	0	-2	-2	0	-2	6.1023389851299905	0.10044051876669839		63.19	11.3452	0
DB02349	[H]N([H])[C@@H](CC(=O)[C@@H](O)C1=C(C=[N+](C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O)C(=O)N([H])[H])C(O)=O	809.5464	71.38275229794573	0	11	1	-1	5	-1	0.9128107789120637	0.7969438838309226	8.671363080174766	418.8799999999999	172.0828	16
DB02350	[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO	374.476	36.73521604489191	1	2	0	0	2	0	16.726393962754777	8.699529975738702	-4.849659258333791	95.94	92.96209999999999	3
DB02352	NC1=NC=CC=C1OCC1=CC=CC=C1	200.2365	21.540928484670037	1	1	0	0	2	0			6.532420469782286	48.14	59.99080000000002	3
DB02353	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])OC(=C[C@]([H])(O)[C@@]2([H])OS([O-])(=O)=O)C([O-])=O)[C@]([H])(O)[C@@]1([H])NS([O-])(=O)=O	494.383	40.31835591309641	0	5	-3	-3	2	-3	-1.3437856916701119	-2.131090546053532	-2.9813189426971407	284.40000000000003	99.09219999999996	7
DB02354	CN1C(CNC2=CC=C(C=C2)C(N)=N)=NC2=C1C=CC(CN1C(C)=NC3=C1C=CC=C3)=C2	423.5129	48.71179422026364	1	3	0	1	5	1		18.158268884670502	12.521156703263957	97.54	138.53159999999997	6
DB02355	[H][C@]1(CO[P@@](O)(=S)OP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O	523.247	40.952553765537075	0	7	0	-3	3	-4	1.0676380567780777	0.9432224435416539	4.924293597685889	262.05999999999995	103.80519999999997	8
DB02356	[H][C@](N)(CO)[C@@]1([H])N=C(CC2=CN=CN2)C(=O)N1CC(O)=O	281.2679	26.409466557265393	1	4	0	0	2	0	12.079741405940336	3.2440896111511566	8.124199030130939	144.9	66.8788	6
DB02357	[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OC)[C@@]2([H])O)[C@@]1([H])O	356.3231	32.90830792288808	0	7	0	0	2	0	12.458967607958598	11.940493774612973	-2.9810835653396	178.52999999999997	73.0879	5
DB02358	[H]N([H])C1=NC(=O)C(N([H])[H])=C(N([H])C(=O)N([H])C2=CC=C(C=C2)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)N1[H]	433.3755	40.02695952158005	0	8	0		2	-2	4.0541814169623	3.451142713818813	2.922416391988549	238.32999999999998	114.42900000000002	8
DB02359	CCCCN1C(CC2=CC(OC)=CC=C2OC)=NC2=C(N)N=CN=C12	341.4075	37.0341666516098	1	1	0	0	3	0		18.55787267981437	3.706345909753205	88.08000000000001	97.45859999999999	7
DB02360	[H][C@](C(=O)C1=CC2=CC=CC=C2C=C1)(C1=CC=CC2=CC=CC=C12)P(O)(O)=O	376.3417	38.3952512710426	1	2	0	-1	4	-1	8.069133741792728	1.5433069339141405	-7.8317129400201555	74.60000000000001	104.70940000000002	4
DB02361	[H][C@](N)(CSSC)C(O)=O	167.25	16.089591186660716	1	2	0	0	0	0		2.1472949929438694	9.043103293896758	63.32000000000001	41.0095	4
DB02362	NC1=CC=C(C=C1)C(O)=O	137.136	13.44348919384024	1	2	0	-1	1	-1		4.769893805764377	2.6912772144052126	63.32	38.0146	1
DB02363	[H][C@]1(COP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O	507.181	38.642983615782875	0	7	0	-4	3	-5	0.8226122473363471	0.6570431411327003	4.863902709596124	279.13	95.81429999999997	8
DB02364	[H][C@](N)(COP(=O)(OCC)OCC)C(O)=O	241.1788	21.982363843330113	1	2	0	0	0	0		2.187055762912153	9.341594257788488	108.08000000000003	51.3757	8
DB02365	C1=CC2=CC=C3C=CC=NC3=C2N=C1	180.2053	19.25790922465885	1	0	0	0	3	0			4.79590425697476	25.78	53.900600000000004	0
DB02366	NC(=N)C1=CC2=C(NC(=N2)C2=CC=CC(C3=CC=CC=C3)=C2O)C=C1Cl	362.812	38.95392751055939	1	4	0	1	4	1	11.248851814751461	8.772950979442163	9.613761547317129	98.78000000000002	123.6645	3
DB02367	CCCCOC1=CC=C(C=C1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(C)(=O)=O	435.516	43.61850044972184	1	3	0	0	2	0	10.598124878203459	8.705179416689683	-4.8652740898735924	142.11	101.32399999999997	7
DB02368	CC(=O)N[C@@H](CCCNC(N)=O)C(O)=O	217.2224	21.485673743228908	1	4	0	-1	0	-1	15.030159592147145	3.872733207277384	-1.460434744275114	121.52000000000001	50.772800000000004	6
DB02369	CN(CCO[P@]([O-])(=O)OP([O-])([O-])=O)CCC=C(C)C	314.1892	28.14899002448023	1	0	-3	-1	0	-2	3.187994222501447	1.7561045453224362	9.598223836460877	125.02000000000001	68.53430000000002	9
DB02370	C[C@@H](NCCCC[C@H](N)C(O)=O)C(O)=O	218.2502	22.995835414350474	1	4	0	0	0	0	2.563977383464328	1.6608359987284407	10.679503560662862	112.65	53.162600000000005	8
DB02371	OCC(CO)(CO)NCCS(O)(=O)=O	229.251	21.219814129173315	1	5	0	0	0	0	14.15741686022528	-1.5262479191795773	8.058197403816658	127.09	47.816399999999994	7
DB02372	CC1=CN=C(C)N=C1N	123.1558	13.282095426038646	1	1	0	1	1	1			6.347489944882918	51.8	37.4018	0
DB02373	[H]N([H])C1=NC=NC2=C1N=CN2[C@]1([H])O[C@@]([H])(CO[W](O)(O)=O)[C@]([H])(O)[C@@]1([H])O	500.09	30.445044502311095	1	5	0	-1	3	-1	8.301180801895066	2.674737568890182	3.9628918878853927	186.07	68.55330000000001	4
DB02374	[H][C@@]1(O)CN2C=CN=C2[C@]([H])(O)[C@@]1([H])O	170.1659	16.150056311757844	1	3	0	0	2	0	13.598786051093644	12.330845487436186	5.319988676729662	78.51	39.753699999999995	0
DB02375	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1	318.2351	29.468621048343266	1	6	0	-1	3	-1	7.717616180605627	6.37283944754045	-4.050760199655587	147.68	78.8431	1
DB02376	[H][C@]1(O)C(NO)=N[C@]([H])(CO)[C@@]([H])(O)[C@]1([H])O	192.1699	17.485356021423733	1	6	0	0	1	0	13.37007550989858	12.420775908999225	5.366243236855065	125.54000000000002	51.16519999999999	1
DB02377	NC1=NC(=O)C2=C(N1)N=CN2	151.1261	13.339986140369138	1	3	0	0	2	0	14.546347917806903	9.130324944250164	3.424046121423038	96.16	38.9011	0
DB02378	CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCC1=CC=CC=C1	730.9343	79.70585499139133	0	7	0		2	0	12.304401357937305	11.173997455178421	-0.7930555892959563	204.05999999999997	195.86680000000004	14
DB02379	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	180.1559	16.354519229394423	1	5	0	0	1	0	12.687538461190869	11.298101552080594	-2.9810792051782764	110.38000000000001	35.9234	1
DB02380	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O	252.23	23.69386736747174	1	3	0	0	3	0	13.889081575303972	11.675326207832725	0.6789789255117281	113.52	58.96539999999999	2
DB02381	N[C@@H](CCNC(=N)NO)C(O)=O	176.1738	16.729279581910667	1	6	0		0	1	14.819951141075428	2.081517602457128	10.561240412081888	131.46	61.535900000000005	4
DB02382	[H][C@]1(COP(O)([O-])=O)O[C@@]([H])([N+]2=CC=CC(=C2)C(O)=O)[C@]([H])(O)[C@]1([H])O	335.2039	28.485556161142966	1	4	0	-2	2	-2	2.7699728651127695	1.2008409413517294	-3.731966103090023	160.45999999999998	68.76350000000001	5
DB02383	COC1=C(C2=CC=CC(C(=S)N(C)CC(O)=O)=C2C=C1)C(F)(F)F	357.347	32.1076739020193	1	1	0	-1	2	-1		3.9489397321430597	-4.8770573332638465	49.769999999999996	87.89240000000001	5
DB02384	[H]\C(=C(/F)C(O)=O)C1=CC=C([O-])C=C1	181.1405	15.940602142078877	1	1	-1	-1	1	-1	9.247829986214137	2.278020680429891	-5.974791023226887	60.36	55.794000000000004	2
DB02385	NC1=NC2=NC=C(N=C2C(=O)N1)[C@@H](O)[C@H](O)CO	253.2147	23.35123836686927	1	5	0	0	2	0	12.461214090294927	9.985898630641074	-0.7232686427134809	153.95	60.11019999999999	3
DB02386	CC(C)C[C@H](N)P(O)(O)=O	167.1433	15.894157112625239	1	3	0	-1	0	-1	6.935064000912396	-0.24248460123551063	10.228822367843486	83.55000000000001	38.8628	3
DB02388	CCCN1C(=NC(=C1C1=CC=NC(NC2CCCCC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCNCC1	513.505	57.18759871018157	0	2	0	1	5	1		15.072496379016972	9.998684763587764	67.66	144.88819999999998	7
DB02390	C[NH+](C)CCNC(=O)C1=CC=CC2=C(N)C3=C([NH+]=C12)C(Br)=CC=C3	389.29	38.73832823003047	1	4	2	2	3	1		14.709983915299048	8.52450416002751	73.7	113.14950000000002	4
DB02391	NC1=NC2=C(N(CCNC(CO)CO)C=N2)C(=O)N1	268.2724	26.23867908504714	1	5	0	1	2	1	14.74551576859322	10.69862252172708	8.740940799803024	137.79	69.21039999999999	6
DB02393	[H][C@]1(O)[C@]([H])(O)[C@]([H])(CP(O)(O)=O)O[C@]1([H])COP(O)(O)=O	308.1169	23.568756543131958	1	6	0	-3	1	-3	1.8765468082639631	1.1191532700906521	-3.62567116003957	173.98	54.8069	5
DB02394	[H][C@@]12C[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O)[C@]1(CO)O2	176.1672	16.35785251790592	1	4	0	0	2	0	13.763373199602894	12.626411824291667	-3.148862058576976	93.45	37.3497	1
DB02395	CN1C(CCCO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O	290.3144	30.882619201757056	1	2	0	0	3	0	15.979854114491786	14.588161659394139	-2.3784382468810925	82.53999999999999	80.46069999999999	5
DB02396	CCNC	59.1103	7.722893849431831	1	1	0	1	0	1			10.53645335179353	12.03	19.442	1
DB02397	CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1OC[C@H](N)C(O)=O	308.2851	28.888031155424745	1	6	0		1	0	12.23157525981552	1.8036205607305729	8.81889668490172	171.57000000000002	65.55560000000001	6
DB02398	NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1	318.3724	36.10150932034135	1	4	0	2	3	2		15.499712210604367	11.292951235260823	104.99	108.18759999999999	4
DB02399	C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO	166.1724	16.24725050306355	1	5	0	0	0	0	13.642051755496475	12.69525446645461	-2.9742106409022417	101.15	36.859899999999996	4
DB02400	COC1=CC(=O)C2=C(C(COC3=CC=C(C=C3)[N+]([O-])=O)=C(C)N2C)C1=O	356.3294	35.770473161617396	1	0	0	0	3	0			-4.619983596087071	100.67	94.98079999999999	5
DB02401	OC(=O)C1=NON=C1O	130.059	9.247065710295153	1	2	0		1	-2	3.0119243260688386	2.346754603297497	-3.4730854433076765	96.45	25.6072	1
DB02402	COC1=CC=C(OC2=CC=CC3=NC(N)=NC(N)=C23)C=C1	282.2973	28.889957291061922	1	2	0	1	3	1		16.481448812347537	7.282947748677278	96.28	81.16480000000001	3
DB02403	NC1=CC=CC=C1F	111.1169	10.380685206688385	1	1	0	0	1	0		19.8140650397512	2.979193097568259	26.02	30.9748	0
