source	dst
DB00011	DB00631
DB00011	DB00635
DB00011	DB00642
DB00011	DB00694
DB00011	DB00755
DB00011	DB00762
DB00011	DB00773
DB00011	DB00851
DB00011	DB00853
DB00011	DB00877
DB00011	DB00928
DB00011	DB00958
DB00011	DB00959
DB00011	DB00970
DB00011	DB00987
DB00011	DB00997
DB00011	DB01005
DB00011	DB01008
DB00011	DB01024
DB00011	DB01030
DB00011	DB01033
DB00011	DB01041
DB00011	DB01042
DB00011	DB01073
DB00011	DB01101
DB00011	DB01168
DB00011	DB01169
DB00011	DB01181
DB00011	DB01204
DB00011	DB01206
DB00011	DB01229
DB00011	DB01234
DB00011	DB01248
DB00011	DB01254
DB00011	DB01262
DB00011	DB01268
DB00011	DB01280
DB00011	DB01590
DB00011	DB02546
DB00011	DB04572
DB00011	DB04845
DB00011	DB04868
DB00011	DB05015
DB00011	DB05109
DB00011	DB05258
DB00011	DB05472
DB00011	DB06287
DB00011	DB06589
DB00011	DB06603
DB00011	DB06616
DB00011	DB06769
DB00011	DB06772
DB00011	DB06813
DB00011	DB08871
DB00011	DB08877
DB00011	DB08889
DB00011	DB08901
DB00011	DB08910
DB00011	DB08935
DB00011	DB09036
DB00011	DB09052
DB00011	DB09053
DB00011	DB09054
DB00011	DB09073
DB00011	DB09074
DB00011	DB09077
DB00011	DB09122
DB00011	DB12025
DB00011	DB12814
DB00011	DB12947
DB00011	DB01097
DB00011	DB00072
DB00011	DB08868
DB00011	DB00864
DB00011	DB11919
DB00011	DB09030
DB00011	DB12768
DB00011	DB00499
DB00011	DB00571
DB00011	DB00831
DB00011	DB11967
DB00011	DB12332
DB00011	DB11757
DB00011	DB11689
DB00011	DB00904
DB00011	DB00530
DB00011	DB06626
DB00011	DB09256
DB00011	DB13874
DB00011	DB00675
DB00011	DB00091
DB00011	DB15119
DB00011	DB06650
DB00011	DB06343
DB00014	DB00914
DB00014	DB01261
DB00014	DB01700
DB00014	DB00313
DB00014	DB00530
DB00014	DB00539
DB00014	DB00619
DB00014	DB01169
DB00014	DB04868
DB00014	DB05294
DB00014	DB06176
DB00014	DB08881
DB00014	DB11730
DB00014	DB11978
DB00014	DB00007
DB00014	DB00433
DB00014	DB00526
DB00014	DB00544
DB00014	DB00904
DB00014	DB01388
DB00014	DB06589
DB00014	DB06603
DB00014	DB08865
DB00014	DB09063
DB00014	DB09078
DB00014	DB11841
DB00014	DB12141
DB00014	DB12174
DB00014	DB12376
DB00014	DB14568
DB00014	DB11718
DB00014	DB00104
DB00014	DB00188
DB00014	DB00196
DB00014	DB00398
DB00014	DB00675
DB00014	DB01026
DB00014	DB01167
DB00014	DB01254
DB00014	DB01259
DB00014	DB01268
DB00014	DB02546
DB00014	DB05465
DB00014	DB06663
DB00014	DB06699
DB00014	DB06719
DB00014	DB06825
DB00014	DB08871
DB00014	DB08912
DB00014	DB00864
DB00014	DB11853
DB00014	DB00091
DB00014	DB00282
DB00014	DB00563
DB00014	DB00580
DB00014	DB00605
DB00014	DB00958
DB00014	DB00041
DB00014	DB00262
DB00014	DB00279
DB00014	DB00290
DB00014	DB00322
DB00014	DB00351
DB00014	DB00377
DB00014	DB00432
DB00014	DB00441
DB00014	DB00480
DB00014	DB00499
DB00014	DB00501
DB00014	DB00631
DB00014	DB00635
DB00014	DB00665
DB00014	DB00851
DB00014	DB00853
DB00014	DB00928
DB00014	DB01024
DB00014	DB01030
DB00014	DB01101
DB00014	DB01181
DB00014	DB06186
DB00014	DB06809
DB00014	DB06813
DB00014	DB08877
DB00014	DB08899
DB00014	DB08910
DB00014	DB08911
DB00014	DB09256
