drug 	 gene
DB00578	mrcB
DB00578	mrdA
DB00578	ftsI
DB00578	bla
DB00579	SLC6A2
DB00579	SLC6A3
DB00579	SLC6A4
DB00579	SLC18A2
DB00580	PTGS2
DB00580	CA2
DB00580	CA3
DB00581	ebgA
DB00582	ERG11
DB00583	XDH
DB00583	CES1
DB00583	MPO
DB00583	CPT1A
DB00583	SLC22A4
DB00583	SLC22A5
DB00583	CRAT
DB00583	SLC25A29
DB00583	SLC25A20
DB00583	CROT
DB00583	CPT2
DB00584	ACE
DB00585	HRH2
DB00586	PTGS2
DB00586	PTGS1
DB00587	CYSLTR1
DB00588	NR3C1
DB00588	PGR
DB00588	PLA2G4A
DB00588	NR3C2
DB00589	DRD2
DB00589	DRD3
DB00589	DRD4
DB00589	HTR2A
DB00589	HTR2C
DB00589	DRD1
DB00589	DRD5
DB00589	HTR1A
DB00589	HTR1D
DB00589	HTR2B
DB00589	HTR1B
DB00589	ADRA2A
DB00589	ADRA2B
DB00589	ADRA2C
DB00589	HTR7
DB00590	ADRA1A
DB00590	ADRA1D
DB00590	KCNH2
DB00590	KCNH6
DB00590	KCNH7
DB00590	ADRA1B
DB00591	NR3C1
DB00591	ANXA1
DB00591	ANXA2
DB00591	ANXA3
DB00591	ANXA4
DB00591	ANXA5
DB00591	PLA2G1B
DB00592	GABRB3
DB00593	CACNA1G
DB00594	SCNN1A
DB00594	SCNN1B
DB00594	SCNN1G
DB00594	SCNN1D
DB00594	AOC1
DB00594	ASIC2
DB00594	ASIC1
DB00594	SLC9A1
DB00594	PLAU
DB00595	rpsI
DB00595	rpsD
DB00596	NR3C1
DB00598	ADRB1
DB00598	ADRB2
DB00598	ADRA1A
DB00598	ADRA1B
DB00598	ADRA1D
DB00599	GABRA1
DB00599	GABRA2
DB00599	GABRA3
DB00599	GABRA4
DB00599	GABRA5
DB00599	GABRA6
DB00599	CHRNA4
DB00599	CHRNA7
DB00599	GRIA2
DB00599	GRIK2
DB00599	FAAH
DB00599	CHRM3
DB00600	TYR
DB00603	PGR
DB00603	ESR1
DB00603	ABCB1
DB00603	GABRA1
DB00603	GABRA2
DB00603	GABRA3
DB00603	GABRA4
DB00603	GABRA5
DB00603	GABRA6
DB00603	GABRB1
DB00603	GABRB2
DB00603	GABRB3
DB00603	GABRD
DB00603	GABRE
DB00603	GABRG1
DB00603	GABRG2
DB00603	GABRG3
DB00603	GABRP
DB00603	GABRQ
DB00604	HTR4
DB00604	HTR3A
DB00604	HTR2A
DB00604	KCNH2
DB00605	PTGS2
DB00605	PTGS1
DB00605	AKR1B1
DB00605	MAPK3
DB00605	PPARD
DB00605	PTGDR2
DB00605	AKR1B10
DB00606	FXYD2
DB00606	CA1
DB00606	CA13
DB00606	CA14
DB00606	CA2
DB00606	CA3
DB00606	CA4
DB00606	CA5A
DB00606	CA5B
DB00606	CA6
DB00606	CA7
DB00606	CA9
DB00606	CA1
DB00606	CA2
DB00606	SFRP4
DB00607	pbp1b
DB00607	penA
DB00607	pbp2a
DB00607	pbp3
DB00607	pbpA
DB00608	GSTA2
DB00608	TNF
DB00608	TLR9
DB00608	GST
DB00608	HMGB1
DB00608	GSTM1
DB00608	ACE2
DB00609	inhA
DB00609	katG
DB00610	ADRA1A
DB00611	OPRK1
DB00611	OPRD1
DB00611	OPRM1
DB00612	ADRB1
DB00612	ADRB2
DB00613	HNMT
DB00615	rpoA
DB00615	rpoB
DB00615	rpoC
DB00615	HSP90AA1
DB00615	HSP90B1
DB00616	MME
DB00616	ACE
DB00617	CACNA1I
DB00618	AVPR2
DB00619	BCR
DB00619	KIT
DB00619	RET
DB00619	NTRK1
DB00619	CSF1R
DB00619	PDGFRA
DB00619	DDR1
DB00619	ABL1
DB00619	PDGFRB
DB00619	DDR2
DB00620	NR3C1
DB00621	AR
DB00622	CACNA1C
DB00622	CACNB2
DB00622	CACNA2D1
DB00622	CACNA1D
DB00622	PDE1A
DB00622	PDE1B
DB00622	ADRA1A
DB00622	ADRA1B
DB00622	ADRA1D
DB00622	CHRM1
DB00622	CHRM2
DB00622	CHRM3
DB00622	CHRM4
DB00622	CHRM5
DB00622	CALM1
DB00622	CACNG1
DB00622	CACNG2
DB00622	CACNG3
DB00622	CACNG4
DB00622	CACNG5
DB00622	CACNG6
DB00622	CACNG7
DB00622	CACNG8
DB00622	CACNA2D1
DB00622	CACNA2D2
DB00622	CACNA2D3
DB00622	CACNA2D4
DB00622	CACNA1C
DB00622	CACNA1D
DB00622	CACNA1F
DB00622	CACNA1S
DB00622	CACNB1
DB00622	CACNB2
DB00622	CACNB3
DB00622	CACNB4
DB00622	CACNA1B
DB00622	CACNA1A
DB00622	CACNA1E
DB00622	CACNA1G
DB00622	CACNA1H
DB00622	CACNA1I
DB00622	CACNA1G
DB00622	CACNA1H
DB00622	CACNA1I
DB00623	DRD2
DB00623	DRD1
DB00623	CALM1
DB00623	AR
DB00623	HTR2A
DB00623	HTR2C
DB00624	AR
DB00624	ESR1
DB00624	NR3C2
DB00625	pol
DB00626	IDE
DB00626	A2M
DB00627	HCAR3
DB00627	HCAR2
DB00627	QPRT
DB00627	NNMT
DB00628	GABRA1
DB00628	GABRA2
DB00628	GABRA3
DB00628	GABRA4
DB00628	GABRA5
DB00628	GABRA6
DB00628	GABRB1
DB00628	GABRB2
DB00628	GABRB3
DB00628	GABRD
DB00628	GABRE
DB00628	GABRG1
DB00628	GABRG2
DB00628	GABRG3
DB00628	GABRP
DB00628	GABRQ
DB00628	GABRA1
DB00628	GABRA2
DB00628	GABRA3
DB00628	GABRA5
DB00628	GABRG1
DB00628	GABRG2
DB00628	GABRG3
DB00629	ADRA2A
DB00629	ADRA2B
DB00630	FDPS
DB00630	PTPN4
DB00630	PTPRS
DB00630	PTPRE
DB00630	ATP6V1A
DB00631	POLA1
DB00631	RRM1
DB00633	ADRA2A
DB00634	folP
DB00634	sulI
DB00634	FOL1
DB00635	NR3C1
DB00636	PPARA
DB00637	HRH1
DB00637	KCNH2
DB00637	KCNH1
DB00637	MAPT
DB00638	cft
DB00640	ADORA1
DB00640	ADORA2A
DB00640	ADORA2B
DB00640	ADORA3
DB00641	HMGCR
DB00641	ITGAL
DB00641	HDAC2
DB00642	TYMS
DB00642	ATIC
DB00642	DHFR
DB00642	GART
DB00643	TUBA1A
DB00643	TUBB4B
DB00644	GNRHR
DB00644	GNRHR2
DB00645	SCN10A
DB00647	OPRM1
DB00647	OPRD1
DB00647	OPRK1
DB00647	CES1
DB00647	GRIN1
DB00647	GRIN2A
DB00647	GRIN2B
DB00647	GRIN2C
DB00647	GRIN2D
DB00647	GRIN3A
DB00647	GRIN3B
DB00648	CYP11B1
DB00648	ESR1
DB00648	PGR
DB00648	AR
DB00648	FDX1
DB00649	pol
DB00651	PDE4B
DB00651	PDE4A
DB00651	PDE4C
DB00651	PDE4D
DB00651	ADORA1
DB00651	ADORA2A
DB00652	SIGMAR1
DB00652	OPRM1
DB00652	OPRK1
DB00654	PTGFR
DB00655	ESR1
DB00655	ESR2
DB00655	AR
DB00655	CYP19A1
DB00655	SHBG
DB00656	HTR2A
DB00656	HTR2C
DB00656	SLC6A4
DB00656	HTR1A
DB00656	HRH1
DB00656	ADRA1A
DB00656	ADRA2A
DB00656	Htr2c
DB00657	CHRNA2
DB00657	CHRNA7
DB00657	CHRNA4
DB00657	CHRNB2
DB00659	GRIN1
DB00659	GRIN2A
DB00659	GRIN2B
DB00659	GRIN2C
DB00659	GRIN2D
DB00659	GRIN3A
DB00659	GRIN3B
DB00659	GRM5
DB00659	GABBR1
DB00661	CACNA1C
DB00661	CACNA1B
DB00661	CACNA1A
DB00661	KCNJ11
DB00661	CACNA1G
DB00661	CACNA1H
DB00661	KCNH2
DB00661	SLC6A4
DB00661	ADRA1A
DB00661	ADRA1B
DB00661	ADRA1D
DB00661	CACNG1
DB00661	CACNG2
DB00661	CACNG3
DB00661	CACNG4
DB00661	CACNG5
DB00661	CACNG6
DB00661	CACNG7
DB00661	CACNG8
DB00661	CACNA2D1
DB00661	CACNA2D2
DB00661	CACNA2D3
DB00661	CACNA2D4
DB00661	CACNA1C
DB00661	CACNA1D
DB00661	CACNA1F
DB00661	CACNA1S
DB00661	CACNB1
DB00661	CACNB2
DB00661	CACNB3
DB00661	CACNB4
DB00661	CACNA1B
DB00661	CACNA1A
DB00661	CACNA1E
DB00661	CACNA1G
DB00661	CACNA1H
DB00661	CACNA1I
DB00661	ABCB1
DB00663	NR3C1
DB00665	AR
DB00666	GNRHR
DB00666	GNRHR2
DB00668	ADRA1A
DB00668	ADRA1B
DB00668	ADRB1
DB00668	ADRB2
DB00668	ADRA2A
DB00668	ADRA2B
DB00668	ADRA1D
DB00668	TNF
DB00669	HTR1A
DB00669	HTR1D
DB00669	HTR1B
DB00669	HTR1F
DB00670	CHRM1
DB00671	mrdA
DB00672	ABCC8
DB00673	TACR1
DB00674	ACHE
DB00674	CHRNA7
DB00674	BCHE
DB00675	ESR1
DB00675	ESR2
DB00675	PRKCA
DB00675	PRKCB
DB00675	PRKCD
DB00675	PRKCE
DB00675	PRKCG
DB00675	PRKCI
DB00675	PRKCQ
DB00675	PRKCZ
DB00675	SHBG
DB00675	EBP
DB00675	AR
DB00675	KCNH2
DB00675	NR1I2
DB00675	ESRRG
DB00675	MAPK8
DB00677	ACHE
DB00677	BCHE
DB00677	TF
DB00678	AGTR1
DB00679	DRD2
DB00679	DRD1
DB00679	ADRA1A
DB00679	ADRA1B
DB00679	HTR2A
DB00679	KCNH2
DB00680	SCN5A
DB00682	VKORC1
DB00682	NR1I2
DB00683	GABRA1
DB00683	GABRA2
DB00683	GABRA3
DB00683	GABRA4
DB00683	GABRA5
DB00683	GABRA6
DB00683	GABRB1
DB00683	GABRB2
DB00683	GABRB3
DB00683	GABRD
DB00683	GABRE
DB00683	GABRG1
DB00683	GABRG2
DB00683	GABRG3
DB00683	GABRP
DB00683	GABRQ
DB00683	GABRA1
DB00683	GABRA2
DB00683	GABRA3
DB00683	GABRA5
DB00683	GABRG1
DB00683	GABRG2
DB00683	GABRG3
DB00685	gyrA
DB00685	parC
DB00685	TOP2A
DB00686	FGF2
DB00686	FGF1
DB00686	FGF4
DB00687	NR3C2
DB00687	NR3C1
DB00688	IMPDH1
DB00688	IMPDH2
DB00688	PTS
DB00689	mrcB
DB00690	GABRA1
DB00690	GABRA2
DB00690	GABRA3
DB00690	GABRA4
DB00690	GABRA5
DB00690	GABRA6
DB00690	GABRB1
DB00690	GABRB2
DB00690	GABRB3
DB00690	GABRD
DB00690	GABRE
DB00690	GABRG1
DB00690	GABRG2
DB00690	GABRG3
DB00690	GABRP
DB00690	GABRQ
DB00690	GABRA1
DB00690	GABRA2
DB00690	GABRA3
DB00690	GABRA5
DB00690	GABRG1
DB00690	GABRG2
DB00690	GABRG3
DB00691	ACE
DB00692	ADRA1A
DB00692	ADRA2A
DB00692	ADRA1B
DB00692	ADRA1D
DB00694	TOP2A
DB00694	TOP2B
DB00695	SLC12A1
DB00695	CA2
DB00695	GPR35
DB00696	HTR1D
DB00696	HTR1B
DB00696	HTR2A
DB00696	ADRA1A
DB00696	ADRA1B
DB00696	ADRA1D
DB00696	DRD2
DB00696	ADRA2A
DB00696	DRD1
DB00696	DRD5
DB00696	HTR1A
DB00696	HTR1F
DB00696	HTR2C
DB00696	HTR2B
DB00696	ADRA2C
DB00697	NISCH
DB00697	ADRA1A
DB00697	ADRA1B
DB00697	ADRA1D
DB00697	ADRA2A
DB00697	ADRA2B
DB00697	ADRA2C
DB00698	ydbK
DB00698	nfsA
DB00698	rpsJ
DB00699	ADRA1A
DB00700	NR3C2
DB00701	pol
DB00703	CA1
DB00703	CA4
DB00703	CA2
DB00703	CA7
DB00703	CA3
DB00704	OPRM1
DB00704	OPRK1
DB00704	OPRD1
DB00704	SIGMAR1
DB00705	pol
DB00706	ADRA1A
DB00706	ADRA1D
DB00706	ADRA1B
DB00707	LDLR
DB00707	FCGR1A
DB00708	OPRM1
DB00708	OPRD1
DB00708	OPRK1
DB00709	pol
DB00709	P
DB00710	GGPS1
DB00710	FDPS
DB00711	ALOX5
DB00711	PTGS1
DB00712	PTGS2
DB00712	PTGS1
DB00713	pbp3
DB00713	pbp2a
DB00713	pbpA
DB00713	penA
DB00713	pbp1b
DB00713	pbpA
DB00713	SLC15A1
DB00713	mecA
DB00713	SLC15A2
DB00713	bla
DB00714	DRD4
DB00714	DRD2
DB00714	DRD3
DB00714	DRD5
DB00714	DRD1
DB00714	ADRA2C
DB00714	ADRA2B
DB00714	HTR1A
DB00714	HTR2A
DB00714	HTR2B
DB00714	HTR2C
DB00714	ADRA2A
DB00714	HTR1D
DB00714	HTR1B
DB00715	SLC6A4
DB00715	SLC6A2
DB00715	HTR2A
DB00715	ADRA1A
DB00715	ADRA1B
DB00715	ADRA1D
DB00715	ADRA2A
DB00715	ADRA2B
DB00715	ADRA2C
DB00715	ADRB1
DB00715	ADRB2
DB00715	ADRB3
DB00715	DRD2
DB00715	HRH1
DB00715	HTR1A
DB00715	HTR1B
DB00715	HTR1D
DB00715	HTR1E
DB00715	HTR1F
DB00715	HTR2A
DB00715	HTR2B
DB00715	HTR2C
DB00715	HTR3A
DB00715	HTR3B
DB00715	HTR3C
DB00715	HTR3D
DB00715	HTR3E
DB00715	HTR4
DB00715	HTR6
DB00715	HTR7
DB00715	CHRM1
DB00715	CHRM2
DB00715	CHRM3
DB00715	CHRM4
DB00715	CHRM5
DB00715	HTR2B
DB00715	DRD1
DB00715	DRD5
DB00716	CYSLTR1
DB00716	CYSLTR2
DB00716	FPR1
DB00716	PTGDR
DB00716	HSP90AA1
DB00717	PGR
DB00717	AR
DB00717	NR3C1
DB00718	P
DB00719	HRH1
DB00720	SLC25A4
DB00720	SLC25A5
DB00720	SLC25A6
DB00721	SCN10A
DB00721	GRIN3A
DB00721	HTR3A
DB00721	SLC6A3
DB00721	CHRNA2
DB00721	KCNMA1
DB00721	KCNMB1
DB00721	KCNMB2
DB00721	KCNMB3
DB00721	KCNMB4
DB00721	KCNN4
DB00721	KCNN1
DB00721	KCNN2
DB00721	KCNN3
DB00721	PLA2G4A
DB00721	ASPG
DB00721	MAOA
DB00721	MAOB
DB00721	DNMT1
DB00721	DNMT3A
DB00722	ACE
DB00722	REN
DB00723	ADRA1A
DB00723	ADRA1D
DB00723	ADRA1B
DB00724	TLR7
DB00724	TLR8
DB00725	CHRM2
DB00725	CHRM1
DB00725	CHRM4
DB00725	CHRM5
DB00725	CHRM3
DB00726	SLC6A4
DB00726	SLC6A2
DB00726	SLC6A3
DB00726	HTR2A
DB00726	HTR1A
DB00726	ADRA1A
DB00726	ADRA1B
DB00726	DRD2
DB00726	ADRA2B
DB00726	HRH1
DB00726	HTR2C
DB00726	HTR3A
DB00726	HTR1D
DB00726	ADRA2A
DB00726	DRD1
DB00726	DRD5
DB00726	ADRB1
DB00726	ADRB2
DB00726	ADRB3
DB00726	CHRM1
DB00726	CHRM2
DB00726	CHRM3
DB00726	CHRM4
DB00726	CHRM5
DB00726	Htr2c
DB00727	NPR1
DB00728	CHRNA2
DB00728	CHRM2
DB00728	HTR3A
DB00730	frdA
DB00731	ABCC8
DB00731	PPARG
DB00732	CHRNA2
DB00733	ACHE
DB00733	BCHE
DB00734	HTR2A
DB00734	DRD2
DB00734	ADRA1B
DB00734	ADRA2B
DB00734	ADRA1A
DB00734	ADRA2C
DB00734	HRH1
DB00734	HTR2C
DB00734	HTR1D
DB00734	HTR1A
DB00734	HTR7
DB00734	DRD1
DB00735	SQLE
DB00736	ATP4A
DB00736	DDAH1
DB00737	HRH1
DB00737	NR1I3
DB00738	TRDMT1
DB00739	pbp2a
DB00739	pbp1b
DB00739	pbp3
DB00739	pbpA
DB00739	penA
DB00740	SCN5A
DB00740	SLC7A11
DB00741	NR3C1
DB00741	ANXA1
DB00744	ALOX5
DB00745	SLC6A3
DB00745	ADRA1B
DB00746	APP
DB00747	CHRM1
DB00747	CHRM2
DB00747	CHRM3
DB00747	CHRM4
DB00747	CHRM5
DB00747	CHRNA4
DB00747	CHRNB2
DB00747	SI
DB00748	HRH1
DB00749	PTGS2
DB00749	PTGS1
DB00749	RXRA
DB00750	SCN5A
DB00751	HRH1
DB00751	HRH2
DB00751	ADRA1A
DB00751	ADRA2A
DB00751	HTR2A
DB00751	HTR7
DB00752	MAOB
DB00752	MAOA
DB00753	GABRA1
DB00753	ATP2C1
DB00753	GLRA1
DB00753	GRIA1
DB00753	KCNA1
DB00753	GABRA1
DB00753	GABRA2
DB00753	GABRA3
DB00753	GABRA4
DB00753	GABRA5
DB00753	GABRA6
DB00753	GABRB1
DB00753	GABRB2
DB00753	GABRB3
DB00753	GABRD
DB00753	GABRE
DB00753	GABRG1
DB00753	GABRG2
DB00753	GABRG3
DB00753	GABRP
DB00753	GABRQ
DB00753	ATP5D
DB00753	CALM1
DB00753	CHRNA4
DB00753	CHRNB2
DB00754	SCN5A
DB00754	NR1I2
DB00755	RXRB
DB00755	RXRG
DB00755	RARG
DB00755	ALDH1A1
DB00755	GPRC5A
DB00755	ALDH1A2
DB00755	RARRES1
DB00755	RARA
DB00755	RARB
DB00755	LCN1
DB00755	OBP2A
DB00755	RBP4
DB00755	PDK4
DB00755	RXRA
DB00755	CYP26A1
DB00755	CYP26B1
DB00755	CYP26C1
DB00755	HPGDS
DB00756	dld
DB00756	SDHD
DB00756	GLUD1
DB00756	ESR1
DB00757	HTR3A
DB00758	P2RY12
DB00759	rpsG
DB00759	rpsN
DB00759	rpsC
DB00759	rpsH
DB00759	rpsS
DB00759	PRNP
DB00759	mdfA
DB00759	PADI4
DB00760	dacB
DB00761	SLC12A2
DB00761	SLC12A1
DB00761	SLC12A5
DB00761	SLC12A6
DB00761	SLC12A7
DB00761	SLC12A4
DB00762	TOP1MT
DB00762	TOP1
DB00763	TPO
DB00764	NR3C1
DB00764	PGR
DB00765	TH
DB00767	HRH1
DB00767	CHRM4
DB00767	CHRM1
DB00767	CHRM5
DB00767	CHRM2
DB00767	CHRM3
DB00768	HRH1
DB00768	HRH2
DB00768	HRH3
DB00768	S100A1
DB00768	S100A12
DB00768	S100B
DB00768	S100A13
DB00768	S100A2
DB00769	NR3C1
DB00770	PTGER2
DB00770	PTGER1
DB00770	PTGDR2
DB00771	CHRM1
DB00772	BCHE
DB00773	TOP2A
DB00773	TOP2B
DB00774	SLC12A1
DB00774	CA7
DB00774	CA9
DB00774	ATP1A1
DB00774	KCNMA1
DB00774	CA1
DB00774	CA2
DB00774	CA4
DB00774	CA12
DB00775	ITGA2B
DB00775	ITGB3
DB00777	HRH1
DB00777	CHRM1
DB00777	CHRM2
DB00777	CHRM3
DB00777	CHRM4
DB00777	CHRM5
DB00777	ADRA1A
DB00777	DRD2
DB00777	HTR2A
DB00777	HTR2C
DB00778	rplJ
DB00778	ABCB1
DB00780	MAOA
DB00780	MAOB
DB00780	AOC3
DB00780	ABAT
DB00780	GPT
DB00780	GPT2
DB00780	GAD65
DB00782	CHRM1
DB00783	ESR1
DB00783	ESR2
DB00783	NR1I2
DB00783	CHRNA4
DB00783	GPER1
DB00783	MT-ATP6
DB00783	BECN1
DB00784	PTGS2
DB00784	PTGS1
DB00785	CHRM2
DB00785	ADRB1
DB00785	ADRB2
DB00785	ADRB3
DB00786	MMP1
DB00786	MMP2
DB00786	MMP3
DB00786	MMP7
DB00786	MMP8
DB00786	MMP9
DB00786	MMP10
DB00786	MMP11
DB00786	MMP12
DB00786	MMP13
DB00786	MMP14
DB00786	MMP15
DB00786	MMP16
DB00786	MMP17
DB00786	MMP19
DB00786	MMP20
DB00786	MMP21
DB00786	MMP23A
DB00786	MMP24
DB00786	MMP25
DB00786	MMP26
DB00786	MMP27
DB00786	MMP28
DB00787	TK
DB00788	PTGS1
DB00788	PTGS2
DB00788	pab
DB00789	PGD
DB00790	ACE
DB00790	SFRP4
DB00792	HRH1
DB00794	GABRA2
DB00794	GABRA3
DB00794	GABRA4
DB00794	GABRA5
DB00794	GABRA6
DB00794	GABRA1
DB00794	GABRA2
DB00794	GABRA3
DB00794	GABRA4
DB00794	GABRA5
DB00794	GABRA6
DB00794	GABRB1
DB00794	GABRB2
DB00794	GABRB3
DB00794	GABRD
DB00794	GABRE
DB00794	GABRG1
DB00794	GABRG2
DB00794	GABRG3
DB00794	GABRP
DB00794	GABRQ
DB00794	GABRA1
DB00794	CHRNA4
DB00794	CHRNA7
DB00794	GRIA2
DB00794	GRIK2
DB00795	ALOX5
DB00795	PTGS2
DB00795	PTGS1
DB00795	ACAT1
DB00795	PLA2G1B
DB00795	SLC7A11
DB00795	NFKB1
DB00795	NFKB2
DB00796	AGTR1
DB00797	ADRA1A
DB00797	ADRA2A
DB00797	HRH1
DB00797	HRH2
DB00797	ADRA2C
DB00797	ADRA2B
DB00798	rpsL
DB00798	nadE
DB00798	DHFR
DB00799	RARA
DB00799	RXRB
DB00799	RARG
DB00799	RARB
DB00800	DRD5
DB00800	DRD1
DB00800	ADRA1B
DB00800	ADRA1D
DB00800	ADRA1A
DB00800	ADRA2B
DB00800	ADRA2C
DB00800	ADRA2A
DB00801	GABRA1
DB00801	GABRA2
DB00801	GABRA3
DB00801	GABRA4
DB00801	GABRA5
DB00801	GABRA6
DB00801	GABRB1
DB00801	GABRB2
DB00801	GABRB3
DB00801	GABRD
DB00801	GABRE
DB00801	GABRG1
DB00801	GABRG2
DB00801	GABRG3
DB00801	GABRP
DB00801	GABRQ
DB00801	GABRA1
DB00801	GABRA2
DB00801	GABRA3
DB00801	GABRA5
DB00801	GABRG1
DB00801	GABRG2
DB00801	GABRG3
DB00802	OPRM1
DB00804	CHRM1
DB00804	CHRM3
DB00804	CHRM2
DB00805	MAOA
DB00805	HTR2B
DB00805	HTR2A
DB00805	HTR2C
DB00805	ACHE
DB00805	SLC6A4
DB00805	DRD1
DB00805	DRD2
DB00805	CHRM1
DB00806	ADORA2A
DB00806	ADORA1
DB00806	NT5E
DB00807	SCN10A
DB00808	SLC12A3
DB00809	CHRM4
DB00809	CHRM1
DB00809	CHRM2
DB00809	CHRM3
DB00810	CHRM1
DB00811	IMPDH1
DB00811	L
DB00811	IMPDH2
DB00811	PB1
DB00812	PTGS1
DB00812	PTGS2
DB00812	PTGIS
DB00813	OPRM1
DB00813	OPRD1
DB00813	OPRK1
DB00813	ABCB1
DB00814	PTGS2
DB00814	PTGS1
DB00816	ADRB2
DB00817	gyrB
DB00817	parC
DB00818	GABRB2
DB00818	GABRB3
DB00818	GABRA1
DB00818	GABRA2
DB00818	GABRA3
DB00818	GABRA4
DB00818	GABRA5
DB00818	GABRA6
DB00818	GABRB1
DB00818	GABRB2
DB00818	GABRB3
DB00818	GABRD
DB00818	GABRE
DB00818	GABRG1
DB00818	GABRG2
DB00818	GABRG3
DB00818	GABRP
DB00818	GABRQ
DB00818	SCN4A
DB00818	SCN2A
DB00819	CA1
DB00819	CA2
DB00819	CA4
DB00819	CA12
DB00819	CA14
DB00819	CA3
DB00819	CA7
DB00819	AQP1
DB00820	PDE5A
DB00820	PDE11A
DB00820	PDE6G
DB00821	PTGS2
DB00821	PTGS1
DB00822	DBH
DB00822	ALDH2
DB00823	PGR
DB00823	ESR1
DB00824	PDE4B
DB00824	ADORA2B
DB00824	PDE4A
DB00824	ADORA1
DB00824	ADORA2A
DB00824	ADORA3
DB00825	TRPM8
DB00825	TRPA1
DB00825	TRPV3
DB00825	CACNA1C
DB00825	CACNA1D
DB00825	CACNA1F
DB00825	CACNA1S
DB00825	CACNB1
DB00825	CACNB2
DB00825	CACNB3
DB00825	CACNB4
DB00825	CACNA1A
DB00825	OPRK1
DB00827	gyrA
DB00828	murA
DB00829	GABRA1
DB00829	GABRA2
DB00829	GABRA3
DB00829	GABRA4
DB00829	GABRA5
DB00829	GABRA6
DB00829	GABRB1
DB00829	GABRB2
DB00829	GABRB3
DB00829	GABRD
DB00829	GABRE
DB00829	GABRG1
DB00829	GABRG2
DB00829	GABRG3
DB00829	GABRP
DB00829	GABRQ
DB00829	GABRA1
DB00829	GABRA2
DB00829	GABRA3
DB00829	GABRA5
DB00829	GABRG1
DB00829	GABRG2
DB00829	GABRG3
DB00830	SLC6A2
DB00830	SLC6A3
DB00831	DRD2
DB00831	CALY
DB00831	ADRA1A
DB00831	CALM1
DB00831	TNNC1
DB00831	S100A4
DB00833	pbp3
DB00833	pbpA
DB00834	PGR
DB00834	NR3C1
DB00834	KLK3
DB00834	NR1I2
DB00835	HRH1
DB00835	CHRM1
DB00835	CHRM2
DB00835	CHRM3
DB00835	CHRM4
DB00835	CHRM5
DB00836	OPRM1
DB00836	OPRD1
DB00836	OPRK1
DB00836	CALM1
DB00836	POMC
DB00836	CACNA1A
DB00836	KCNH2
DB00837	GABRA1
DB00837	GABBR1
DB00838	NR3C1
DB00841	ADRA1A
DB00841	ADRA1B
DB00841	ADRA1D
DB00841	ADRB1
DB00841	ADRB2
DB00841	ESR1
DB00842	GABRA1
DB00842	GABRA2
DB00842	GABRA3
DB00842	GABRA4
DB00842	GABRA5
DB00842	GABRA6
DB00842	GABRB1
DB00842	GABRB2
DB00842	GABRB3
DB00842	GABRD
DB00842	GABRE
DB00842	GABRG1
DB00842	GABRG2
DB00842	GABRG3
DB00842	GABRP
DB00842	GABRQ
DB00842	GABRA1
DB00842	GABRA2
DB00842	GABRA3
DB00842	GABRA5
DB00842	GABRG1
DB00842	GABRG2
DB00842	GABRG3
DB00843	ACHE
DB00843	HTR2A
DB00843	BCHE
DB00843	NOS1
DB00843	TNFAIP6
DB00843	IL1B
DB00843	NFKB2
DB00843	NFKB1
DB00843	GRIN1
DB00843	GRIN2A
DB00843	GRIN2B
DB00843	GRIN2C
DB00843	GRIN2D
DB00843	GRIN3A
DB00843	GRIN3B
DB00844	OPRK1
DB00844	OPRM1
DB00844	OPRD1
DB00845	PPARG
DB00845	KCNA3
DB00846	NR3C1
DB00847	NPY2R
DB00848	CHRNA3
DB00848	ALPPL2
DB00848	unc-38
DB00848	unc-63
DB00848	lev-1
DB00848	unc-29
DB00849	GABRA2
DB00849	GABRA3
DB00849	GABRA4
DB00849	GABRA5
DB00849	GABRA6
DB00849	GABRA1
DB00849	CHRNA4
DB00849	CHRNA7
DB00849	GRIA2
DB00849	GRIK2
DB00849	NR1I2
DB00850	DRD2
DB00850	DRD1
DB00850	CALM1
DB00851	POLA2
DB00851	PGD
DB00852	SLC6A2
DB00852	SLC6A3
DB00852	ADRA1A
DB00852	ADRA2A
DB00852	SLC6A4
DB00852	ADRB2
DB00852	ADRB1
DB00852	NFATC1
DB00852	TNF
DB00852	NFKB1
DB00852	ATF1
DB00852	ATF2
DB00852	ATF3
DB00852	ATF4
DB00852	ATF5
DB00852	ATF6
DB00852	ATF7
DB00852	JDP2
DB00852	FOS
DB00852	JUN
DB00852	IL2
DB00854	OPRM1
DB00854	OPRD1
DB00854	OPRK1
DB00855	ALAD
DB00857	ERG1
DB00857	SQLE
DB00858	AR
DB00860	NR3C1
DB00861	PTGS2
DB00861	PTGS1
DB00862	PDE5A
DB00862	PDE6G
DB00862	PDE6H
DB00863	HRH2
DB00863	ACHE
DB00864	FKBP1A
DB00865	SLC18A2
DB00865	ADRA2A
DB00865	ADRA1A
DB00865	SLC6A3
DB00866	ADRB1
DB00866	ADRB2
DB00866	HTR1A
DB00866	ADRB3
DB00867	ADRB2
DB00867	ADRB1
DB00867	ADRB2
DB00867	ADRB3
DB00867	KCNJ1
DB00867	KCNJ10
DB00867	KCNJ11
DB00867	KCNJ12
DB00867	KCNJ14
DB00867	KCNJ15
DB00867	KCNJ8
DB00867	ATP2C1
DB00867	ATP2C2
DB00867	ATP2B1
DB00867	ATP2B2
DB00867	ATP2B3
DB00867	ATP2B4
DB00867	ATP2A1
