drug 	 gene
DB00114	HDC
DB00114	AZIN2
DB00114	SDS
DB00114	GCAT
DB00114	GLDC
DB00114	GPT
DB00114	PSAT1
DB00114	ALAS1
DB00114	AGXT
DB00114	PDXP
DB00114	SPTLC1
DB00114	CTH
DB00114	BCAT1
DB00114	BCAT2
DB00114	PROSC
DB00114	GOT2
DB00114	PYGB
DB00114	PYGM
DB00114	DDC
DB00114	GIG18
DB00114	ALAS1
DB00114	GAD2
DB00114	DDC
DB00114	CCBL2
DB00114	GADL1
DB00114	SCLY
DB00114	IGSF10
DB00114	PHYKPL
DB00114	GAD1
DB00114	SHMT2
DB00114	ALAS2
DB00114	GPT2
DB00114	MOCOS
DB00114	SDSL
DB00114	SRR
DB00114	SEPSECS
DB00114	SPTLC3
DB00114	GAD65
DB00114	TLH6
DB00115	MTR
DB00115	MUT
DB00115	MTRR
DB00115	MMAA
DB00115	MMACHC
DB00115	MTHFR
DB00116	MTHFD1
DB00116	MTHFD2
DB00116	AMT
DB00116	ALDH1L1
DB00116	MTR
DB00116	FTCD
DB00116	ATIC
DB00116	SHMT1
DB00116	SHMT2
DB00116	MTHFR
DB00116	MTFMT
DB00117	HDC
DB00117	HARS
DB00117	SLC38A3
DB00117	HAL
DB00118	COMT
DB00118	CMTR1
DB00118	AS3MT
DB00118	GNMT
DB00118	AMD1
DB00118	MAT2A
DB00118	CBS
DB00118	MAT1A
DB00119	SLC16A3
DB00119	SLC16A2
DB00119	AGXT2
DB00119	SLC16A5
DB00119	PKLR
DB00119	SLC16A6
DB00119	SLC16A7
DB00119	PDHB
DB00119	PKM
DB00119	ABAT
DB00119	SLC16A4
DB00119	SLC16A8
DB00119	SLC16A1
DB00119	PC
DB00120	TAT
DB00120	SLC7A8
DB00120	FARSA
DB00120	PAH
DB00120	FARS2
DB00120	FARSB
DB00120	TH
DB00121	PCCB
DB00121	HLCS
DB00121	MCCC2
DB00121	ACACB
DB00121	MCCC1
DB00121	PC
DB00121	PCCA
DB00121	ACACA
DB00122	CHRNA7
DB00122	PCYT1B
DB00122	ACHE
DB00122	PCYT1A
DB00122	PLD2
DB00122	BCHE
DB00122	PLD1
DB00122	PHOSPHO1
DB00123	SLC7A1
DB00123	SLC7A4
DB00123	SLC7A3
DB00123	SLC7A2
DB00123	KARS
DB00125	SLC7A3
DB00125	AZIN2
DB00125	ASL
DB00125	NOS2
DB00125	SLC7A1
DB00125	ARG2
DB00125	SLC7A4
DB00125	ASS1
DB00125	NOS3
DB00126	xylA
DB00126	PLOD2
DB00126	PHYH
DB00126	PLOD3
DB00126	BBOX1
DB00126	DBH
DB00126	PAM
DB00126	P3H1
DB00126	P3H2
DB00126	P3H3
DB00126	P4HA1
DB00126	OGFOD1
DB00126	OGFOD2
DB00126	ALKBH2
DB00126	ALKBH3
DB00126	KDM5D
DB00126	PLOD1
DB00126	TMLHE
DB00126	P4HTM
DB00126	EGLN1
DB00126	EGLN2
DB00126	EGLN3
DB00127	SMS
DB00127	SMOX
DB00127	ODC1
DB00127	CASR
DB00127	ADRB1
DB00127	ADRB2
DB00128	ADSSL1
DB00128	ADSS
DB00128	SLC25A13
DB00128	GOT1
DB00128	ASPA
DB00128	ASNS
DB00128	ASS1
DB00128	ACY1
DB00128	GOT2
DB00128	DARS
DB00128	SLC25A12
DB00128	ASPH
DB00128	PAICS
DB00128	ADSS
DB00128	SLC1A1
DB00128	ASS
DB00128	DARS2
DB00128	ASRGL1
DB00128	RNASE1
DB00128	LYZ
DB00129	OAT
DB00129	OTC
DB00129	ARG1
DB00129	OAZ1
DB00129	SLC7A1
DB00129	SLC7A2
DB00129	SLC25A2
DB00129	ARG2
DB00129	SLC25A15
DB00129	GATM
DB00130	CTPS1
DB00130	PPAT
DB00130	GLUL
DB00131	PRKAA1
DB00131	PRKAA2
DB00131	PRKAB1
DB00131	PRKAB2
DB00131	PRKAG1
DB00131	PRKAG2
DB00131	PRKAG3
DB00131	ADK
DB00131	PRKAB1
DB00131	ACSS2
DB00131	PRKAA1
DB00131	ADCY1
DB00131	ACSL1
DB00131	CREB1
DB00131	PDE4B
DB00131	HINT1
DB00131	PDE4D
DB00131	FBP1
DB00132	FADS1
DB00132	FADS2
DB00132	TRPV1
DB00132	PPARA
DB00132	NR1H4
DB00132	PPARD
DB00132	PPARG
DB00132	RXRA
DB00132	ELOVL2
DB00132	ELOVL5
DB00132	SLC8A1
DB00133	CBS
DB00133	SDS
DB00133	SRR
DB00133	SPTLC2
DB00133	SPTLC1
DB00133	SARS
DB00133	AGXT
DB00134	MTRR
DB00134	MTR
DB00134	METAP2
DB00134	BHMT
DB00134	BHMT2
DB00135	TH
DB00135	YARS2
DB00135	YARS
DB00135	TAT
DB00136	VDR
DB00136	HOXA10
DB00138	SLC7A11
DB00138	CTNS
DB00139	ALDH5A1
DB00139	SUCNR1
DB00140	RFK
DB00140	ribC
DB00140	BLVRB
DB00141	B4GALT1
DB00141	B4GALT4
DB00141	NAGK
DB00141	NAGPA
DB00141	NAGLU
DB00141	RENBP
DB00142	GRM1
DB00142	GRM4
DB00142	GRIK4
DB00142	GRIK5
DB00142	GRM7
DB00142	GRM8
DB00142	SLC1A7
DB00142	OPLAH
DB00142	PFAS
DB00142	BCAT2
DB00142	GRIN2D
DB00142	GLS
DB00142	GOT2
DB00142	EPRS
DB00142	ASNS
DB00142	GLUL
DB00142	GOT1
DB00142	TAT
DB00142	GPT
DB00142	GGCX
DB00142	SLC1A3
DB00142	SLC1A2
DB00142	SLC1A1
DB00142	GCLC
DB00142	SLC1A6
DB00142	GLUD2
DB00142	GMPS
DB00142	BCAT1
DB00142	ABAT
DB00142	GRIN1
DB00142	FPGS
DB00142	ENPEP
DB00142	GRIN2A
DB00142	GRIN2B
DB00142	GRIN2C
DB00142	GIG18
DB00142	EARS2
DB00142	NADSYN1
DB00142	NAGS
DB00142	AADAT
DB00142	GRIN3A
DB00142	GPT2
DB00142	AASS
DB00142	GLS2
DB00142	DNPEP
DB00142	SLC7A11
DB00142	CPQ
DB00142	PSAT1
DB00142	GLUD1
DB00142	GRIK1
DB00142	GRIA1
DB00142	GCLM
DB00142	FOLH1
DB00142	GAD2
DB00142	GAD1
DB00142	FTCD
DB00142	GRIA2
DB00142	GRIA3
DB00142	GRIA4
DB00142	ALDH18A1
DB00142	GRIK2
DB00142	GRIK3
DB00143	AKR1B1
DB00143	MMP9
DB00143	CYP3A4
DB00143	GPX5
DB00143	GPX1
DB00143	GPX2
DB00143	GPX3
DB00143	GPX6
DB00143	GPX7
DB00143	GPX4
DB00143	GPX8
DB00143	GSR
DB00143	GSS
DB00143	GSTM1
DB00143	GSTK1
DB00143	GSTA3
DB00143	GSTM3
DB00143	GSTA4
DB00143	GSTM4
DB00143	GSTA5
DB00143	GSTP1
DB00143	GSTO1
DB00143	GPX1
DB00143	GPX2
DB00143	GSTT1
DB00143	GSTZ1
DB00143	GPX5
DB00143	GPX3
DB00143	GLO1
DB00143	LTC4S
DB00143	MGST3
DB00143	HPGDS
DB00143	GSTA1
DB00143	GSTA2
DB00143	MGST1
DB00143	ESD
DB00143	GGT1
DB00143	GSTM2
DB00143	GLRX
DB00143	GPX4
DB00143	GSTM5
DB00143	GPX6
DB00143	HAGH
DB00143	GPX1
DB00143	GPX7
DB00143	MGST2
DB00143	GSTO2
DB00143	GLRX2
DB00144	PISD
DB00144	SCARB1
DB00144	PRKCA
DB00144	PTDSS1
DB00144	DGKG
DB00144	DGKD
DB00144	PTDSS2
DB00144	SMPD4
DB00144	SMPD3
DB00144	ATP8A1
DB00145	GCAT
DB00145	ALAS1
DB00145	ALAS2
DB00145	GARS
DB00145	GRIN2A
DB00145	BAAT
DB00145	GPR18
DB00145	GSS
DB00145	GRIN2C
DB00145	GLYAT
DB00145	SHMT2
DB00145	GLYATL2
DB00145	GLYATL1
DB00145	AGXT2
DB00145	PIPOX
DB00145	GRIN3B
DB00145	GLRA1
DB00145	AGXT
DB00145	GLRB
DB00145	SHMT1
DB00145	GLRA3
DB00145	GLRA2
DB00145	GNMT
DB00145	GATM
DB00146	VDR
DB00147	PDXK
DB00148	CKM
DB00148	CKMT1A
DB00148	CKB
DB00148	CKMT2
DB00148	SLC6A8
DB00148	GAMT
DB00149	LARS2
DB00149	LCMT2
DB00149	LCMT1
DB00149	LARS
DB00149	BCAT2
DB00149	BCAT1
DB00150	WARS
DB00150	trpS
DB00150	WARS2
DB00151	GCLM
DB00151	GCLC
DB00151	GOT1
DB00151	GOT2
DB00151	CTH
DB00151	CBS
DB00151	CARS
DB00151	MGMT
DB00151	GSS
DB00151	CARS2
DB00151	CSAD
DB00151	NFS1
DB00151	CDO1
DB00152	TPK1
DB00153	VDR
DB00153	CACNG1
DB00153	CACNG2
DB00153	CACNG3
DB00153	CACNG4
DB00153	CACNG5
DB00153	CACNG6
DB00153	CACNG7
DB00153	CACNG8
DB00153	CACNA2D1
DB00153	CACNA2D2
DB00153	CACNA2D3
DB00153	CACNA2D4
DB00153	CACNA1C
DB00153	CACNA1D
DB00153	CACNA1F
DB00153	CACNA1S
DB00153	CACNB1
DB00153	CACNB2
DB00153	CACNB3
DB00153	CACNB4
DB00153	CACNA1B
DB00153	CACNA1A
DB00153	CACNA1E
DB00153	CACNA1G
DB00153	CACNA1H
DB00153	CACNA1I
DB00154	PTGS2
DB00154	PTGS1
DB00155	NOS3
DB00155	ASS1
DB00155	DDAH2
DB00155	ASS
DB00155	DDAH1
DB00155	OTC
DB00155	NOS1
DB00155	NOS2
DB00155	PADI4
DB00155	PADI6
DB00155	PADI1
DB00155	PADI3
DB00155	PADI2
DB00156	TARS
DB00156	TARS2
DB00156	bla
DB00157	UGDH
DB00157	ADH1A
DB00157	SORD
DB00157	ADH4
DB00157	ADH1C
DB00157	ADH1B
DB00157	ADH7
DB00157	GPD1
DB00157	LDHAL6A
DB00157	ADH5
DB00157	AKR1B1
DB00157	HSD17B10
DB00157	MDH2
DB00157	LDHA
DB00157	ME2
DB00157	HSD17B4
DB00157	LDHAL6B
DB00157	LDHC
DB00157	LDHB
DB00157	EHHADH
DB00157	HADH
DB00157	ME3
DB00157	BDH1
DB00157	MDH1
DB00157	HIBADH
DB00157	HSD17B3
DB00157	HMGCR
DB00157	ME1
DB00157	PHGDH
DB00157	HSD17B7
DB00157	IDH3G
DB00157	IDH3B
DB00157	IDH3A
DB00157	HSD17B1
DB00157	HSD17B2
DB00157	RDH5
DB00157	H6PD
DB00157	HSD17B8
DB00157	AKR1C4
DB00157	IMPDH2
DB00157	AKR1C3
DB00157	HPGD
DB00157	TSTA3
DB00157	AKR1C1
DB00157	HSD11B1
DB00157	HSD3B2
DB00157	HSD3B1
DB00157	IMPDH1
DB00157	HADHA
DB00157	ALDH2
DB00157	HSD11B2
DB00157	AKR1C2
DB00157	NSDHL
DB00157	ALDH3B2
DB00157	ALDH6A1
DB00157	ALDH3A1
DB00157	ALDH1A1
DB00157	GAPDHS
DB00157	ALDH9A1
DB00157	ALDH1A3
DB00157	ALDH1B1
DB00157	ALDH3B1
DB00157	GAPDH
DB00157	ALDH1A2
DB00157	ALDH3A2
DB00157	ALDH5A1
DB00157	ALDH7A1
DB00157	BLVRB
DB00157	PYCR2
DB00157	PYCR1
DB00157	GLUD1
DB00157	PDHB
DB00157	PDHA2
DB00157	PDHA1
DB00157	BLVRA
DB00157	ACADS
DB00157	DHFR
DB00157	OGDH
DB00157	GLUD2
DB00157	DHCR7
DB00157	NQO2
DB00157	MT-ND2
DB00157	AASS
DB00157	MT-ND3
DB00157	NDUFS7
DB00157	MTHFD1
DB00157	MTHFD2
DB00157	ALDH4A1
DB00157	CYB5R3
DB00157	NDUFA11
DB00157	MT-ND4
DB00157	QDPR
DB00157	MT-ND1
DB00157	NNT
DB00157	NDUFA5
DB00157	NDUFA9
DB00157	MT-ND4L
DB00157	NDUFA10
DB00157	NDUFA7
DB00157	NDUFA1
DB00157	MT-ND6
DB00157	MT-ND5
DB00157	NDUFA4
DB00157	NDUFA6
DB00157	NDUFAB1
DB00157	NDUFA2
DB00157	NDUFA8
DB00157	NDUFA3
DB00157	NDUFB8
DB00157	NDUFC2
DB00157	NDUFB1
DB00157	NDUFS1
DB00157	NDUFB10
DB00157	NDUFB4
DB00157	NDUFB3
DB00157	NDUFB2
DB00157	NDUFB7
DB00157	NDUFB9
DB00157	NDUFS2
DB00157	NDUFB5
DB00157	NDUFC1
DB00157	NDUFB6
DB00157	NDUFV3
DB00157	DLD
DB00157	NDUFS3
DB00157	GSR
DB00157	NDUFA12
DB00157	NDUFS5
DB00157	NDUFS4
DB00157	NDUFV1
DB00157	NDUFV2
DB00157	NDUFA13
DB00157	CDO1
DB00157	NDUFS6
DB00157	NDUFA4L2
DB00157	NDUFS8
DB00157	CYP4A11
DB00157	DLAT
DB00157	AMT
DB00157	MSMO1
DB00157	HMOX1
DB00157	HMOX2
DB00157	CYP17A1
DB00157	TYR
DB00158	FOLR3
DB00158	FOLR2
DB00158	FOLR1
DB00159	PTGS2
DB00159	PTGS1
DB00159	PPARG
DB00159	PPARD
DB00159	FFAR1
DB00159	SLC8A1
DB00159	FABP7
DB00159	FADS1
DB00159	ACSL4
DB00159	TRPV1
DB00159	PPARA
DB00159	ALOX5
DB00160	AGXT
DB00160	GPT
DB00160	NFS1
DB00160	SLC36A1
DB00160	SLC7A8
DB00160	AGXT2
DB00160	AARS
DB00160	SLC1A4
DB00160	ABAT
DB00160	KYNU
DB00160	AARS2
DB00160	PHYKPL
DB00160	GPT2
DB00161	PCCB
DB00161	BCAT1
DB00161	VARS
DB00162	APOD
DB00162	PTGDS
DB00162	RDH12
DB00162	RDH5
DB00162	RDH13
DB00162	ALDH1A2
DB00162	ALDH1A1
DB00162	LRAT
DB00162	DHRS3
DB00162	ALDH1A3
DB00162	RETSAT
DB00162	RDH11
DB00162	DHRS4
DB00162	RDH14
DB00162	RDH8
DB00163	SEC14L4
DB00163	SEC14L3
DB00163	SEC14L2
DB00163	NR1I2
DB00163	PRKCB
DB00163	ALOX5
DB00163	PRKCA
DB00163	DGKA
DB00163	PPP2CB
DB00163	PPP2CA
DB00165	PDXK
DB00166	LIPT1
DB00166	SLC5A6
DB00166	LIAS
DB00167	ACADSB
DB00167	BCAT1
DB00167	BCAT2
DB00167	IARS
DB00167	IARS2
DB00168	TAS1R3
DB00168	TAS1R2
DB00168	TRPV1
DB00169	VDR
DB00170	GGCX
DB00170	VKORC1
DB00170	VKORC1L1
DB00170	F2
DB00170	F9
DB00170	PROC
DB00170	PROS1
DB00170	NQO2
DB00170	NQO1
DB00170	BGLAP
DB00171	ABCC6
DB00171	ABCC4
DB00171	ABCC1
DB00171	CFTR
DB00171	PIK3CA
DB00171	CSNK2A1
DB00171	CSNK2B
DB00171	P2RY11
DB00171	PPP5C
DB00171	ABL2
DB00171	ABCA1
DB00171	ACSS2
DB00171	ALK
DB00171	NAE1
DB00171	PRKAA1
DB00171	ARAF
DB00171	ACVRL1
DB00171	ACSL1
DB00171	NT5C2
DB00171	ASNA1
DB00171	ABCC9
DB00171	AKT1
DB00171	ADRBK1
DB00171	APAF1
DB00171	ACSS1
DB00171	ACVR1B
DB00171	ACVR1
DB00171	ABCB11
DB00171	ASNS
DB00171	CDK15
DB00171	SLC25A4
DB00171	ABCC8
DB00171	ASS1
DB00171	AFG3L2
DB00171	ADRBK2
DB00171	AMHR2
DB00171	TNK2
DB00171	ABL1
DB00171	ADCY1
DB00171	ABCB1
DB00171	ABCG1
DB00171	ABCC2
DB00172	PYCR1
DB00172	EPRS
DB00172	SLC6A14
DB00172	SLC6A7
DB00172	PYCR2
DB00172	P4HA2
DB00172	PRODH
DB00172	PPIH
DB00172	PROSC
DB00172	P4HA1
DB00172	PPIB
DB00172	PPIF
DB00172	PPIC
DB00172	PPIA
DB00172	PPIG
DB00172	P3H1
DB00172	P5CR2
DB00172	PARS2
DB00172	P3H2
DB00172	P3H3
DB00172	PYCRL
DB00172	L3HYPDH
DB00173	APRT
DB00173	MTAP
DB00173	cobT
DB00173	ACACB
DB00173	ACP1
DB00173	mtnN
DB00173	PECR
DB00173	mutY
DB00173	ptd
DB00173	SRPK2
DB00173	ruvB
DB00174	SLC38A1
DB00174	SLC38A2
DB00174	SLC38A3
DB00174	SLC38A4
DB00174	SLC1A5
DB00174	ASNS
DB00174	NARS
DB00174	ASRGL1
DB00174	NARS2
DB00175	HMGCR
DB00175	HDAC2
